Dataset	Diff_id_3	Liv_tass	Method	match	Diff_id_2e3	failure	Dist_median_medianL	N_hap_meanL
Clytra	0	3	Soglia_3_per	2	25	2	12.41481337	1.386294361
Colaspidea	0	3	Soglia_3_per	1	0	1	11.4846732	2.014903021
Colaspidema	0	3	Soglia_3_per	1	0	0	11.4846732	2.772588722
Coptocephala	0	3	Soglia_3_per	2	100	1	12.57459572	0.845868268
Crepidodera	0	3	Soglia_3_per	6	28.57	1	11.96474285	2.708050201
Crioceris	0	3	Soglia_3_per	3	0	0	13.10756786	2.119863456
Cryptocephalus	12.9	3	Soglia_3_per	49	60.21	44	12.25541504	1.740466175
Derocrepis	0	3	Soglia_3_per	0	100	2	12.13541464	1.871802177
Diabrotica	0	3	Soglia_3_per	1	0	0	12.23391736	0.693147181
Dibolia	0	3	Soglia_3_per	5	50	1	12.02773514	1.427916036
Dicladispa	0	3	Soglia_3_per	1	0	0	12.58657475	1.098612289
Donacia	0	3	Soglia_3_per	11	81.82	0	13.87243989	0.896088025
Entomoscelis	0	3	Soglia_3_per	2	50	0	12.21045055	1.386294361
Epitrix	0	3	Soglia_3_per	2	50	0	13.83292013	1.791759469
Exosoma	0	3	Soglia_3_per	1	0	1	11.68702918	3.701301974
Galeruca	0	3	Soglia_3_per	4	12.5	4	10.84405208	1.609437912
Galerucella	20	3	Soglia_3_per	2	100	3	13.95693026	2.174751721
Gastrophysa	0	3	Soglia_3_per	2	0	1	13.1658494	2.079441542
Gonioctena	16.67	3	Soglia_3_per	12	33.34	0	12.34106541	2.813610697
Hermaeophaga	0	3	Soglia_3_per	1	100	1	11.83144828	0.916290732
Hippuriphila	0	3	Soglia_3_per	1	0	0	13.13028651	1.386294361
Hispa	0	3	Soglia_3_per	0	0	1	13.36742215	3.17805383
Hydrothassa	0	3	Soglia_3_per	2	25	2	10.4565735	1.386294361
Hypocassida	0	3	Soglia_3_per	2	100	1	13.12303275	1.300191662
Labidostomis	0	3	Soglia_3_per	8	60	4	11.84794164	1.678963975
Lachnaia	0	3	Soglia_3_per	2	100	6	11.90840151	2.924773185
Lema	0	3	Soglia_3_per	1	0	0	13.19874629	0.693147181
Leptinotarsa	0	3	Soglia_3_per	1	0	0	12.88051039	0.693147181
Leptomona	0	3	Soglia_3_per	1	0	0	11.94096713	2.397895273
Lilioceris	0	3	Soglia_3_per	3	33.33	0	14.23946174	1.541159072
Lochmaea	0	3	Soglia_3_per	1	50	3	11.45903818	2.140066163
Longitarsus	28.57	3	Soglia_3_per	35	93.88	14	12.16938325	1.903598951
Luperus	0	3	Soglia_3_per	7	77.78	3	12.16144916	2.054123734
Lythraria	0	3	Soglia_3_per	1	0	0	13.28437882	1.945910149
Macrocoma	100	3	Soglia_3_per	1	100	0	0	0
Macrolenes	0	3	Soglia_3_per	1	0	0	12.43684026	0.693147181
Macroplea	0	3	Soglia_3_per	2	0	0	0	0.405465108
Mantura	0	3	Soglia_3_per	4	75	0	11.67534869	2.505525937
Neocrepidodera	0	3	Soglia_3_per	7	100	4	12.53223802	1.713797928
Neophaedon	0	3	Soglia_3_per	2	0	0	0	0.405465108
Nimphius	0	3	Soglia_3_per	2	0	0	0	0.405465108
Oedionychus	0	3	Soglia_3_per	2	0	0	11.33540684	2.079441542
Oreina	0	3	Soglia_3_per	4	100	4	11.85658112	1.504077397
Orestia	0	3	Soglia_3_per	1	0	0	12.71840963	1.945910149
Orsodacne	0	3	Soglia_3_per	2	0	1	12.71251036	1.673351238
Oulema	60	3	Soglia_3_per	0	80	5	12.9077833	1.735189118
Pachnephorus	0	3	Soglia_3_per	2	0	0	0	0.405465108
Pachybrachis	0	3	Soglia_3_per	4	83.33	8	10.70234204	1.945910149
Phaedon	0	3	Soglia_3_per	4	25	0	12.29995362	1.386294361
Phratora	0	3	Soglia_3_per	4	50	2	13.25957912	1.541159072
Phyllobrotica	0	3	Soglia_3_per	1	0	0	13.6760349	1.791759469
Phyllotreta	5.26	3	Soglia_3_per	17	89.47	2	13.38148439	1.413423029
Plagiodera	0	3	Soglia_3_per	1	0	0	12.01597876	2.564949357
Plagiosterna	0	3	Soglia_3_per	1	0	0	13.97420689	2.079441542
Plateumaris	0	3	Soglia_3_per	4	100	2	12.5059498	1.735189118
Podagrica	0	3	Soglia_3_per	2	33.33	1	12.42385867	2.079441542
Prasocuris	0	3	Soglia_3_per	2	50	0	12.37832451	1.704748092
Psylliodes	7.41	3	Soglia_3_per	17	96.3	13	11.6233186	2.083184528
Pyrrhalta	0	3	Soglia_3_per	1	0	0	14.23795011	1.609437912
Sermylassa	0	3	Soglia_3_per	1	0	0	13.77447604	1.098612289
Smaragdina	0	3	Soglia_3_per	5	50	4	13.08843486	2.397895273
Sphaeroderma	0	3	Soglia_3_per	1	100	1	13.60934346	1.945910149
Stylosomus	0	3	Soglia_3_per	1	0	2	12.02088699	2.512035317
Syneta	0	3	Soglia_3_per	1	0	0	12.60973313	0.693147181
Timarcha	0	3	Soglia_3_per	3	100	1	12.64928077	0.916290732
Tituboea	0	3	Soglia_3_per	0	0	1	14.33747373	0.693147181
Xanthogaleruca	0	3	Soglia_3_per	1	0	0	8.897759959	0
Zeugophora	0	3	Soglia_3_per	1	0	0	12.2840984	1.386294361
Totale	11.5	1	Soglia_3_per	355	64.95	187	12.29643972	1.903598951
Alticinae	19.47	2	Soglia_3_per	137	83.15	58	12.16084356	1.885553349
Cassidinae	8.33	2	Soglia_3_per	15	62.5	10	12.80489871	1.517322624
Chrysomelinae	6.17	2	Soglia_3_per	65	49.38	20	12.40185322	1.986503546
Criocerinae	25	2	Soglia_3_per	7	41.67	5	13.17728556	1.752672081
Cryptocephalinae	8.39	2	Soglia_3_per	75	61.54	72	12.23386241	1.915450942
Donacinae	0	2	Soglia_3_per	17	78.95	2	12.5059498	1.214912744
Eumolpinae	0	2	Soglia_3_per	6	0	1	11.4846732	1.311031877
Galerucinae	2.38	2	Soglia_3_per	28	40.48	17	12.09650273	2.209372711
Hispinae	0	2	Soglia_3_per	1	0	1	13.05135276	2.602689685
Orsodacninae	0	2	Soglia_3_per	2	0	1	12.71251036	1.673351238
Synetinae	0	2	Soglia_3_per	1	0	0	12.60973313	0.693147181
Zeugophorinae	0	2	Soglia_3_per	1	0	0	12.2840984	1.386294361
Agelastica	0	3	ASAP 1st–2nd	1	0	0	14.20059811	1.609437912
Altica	91.67	3	ASAP 1st–2nd	0	91.67	12	12.20824628	2.03077637
Aphthona	21.43	3	ASAP 1st–2nd	13	21.43	2	11.68278469	1.745715531
Apteropeda	0	3	ASAP 1st–2nd	0	0	2	11.99285591	2.251291799
Arima	0	3	ASAP 1st–2nd	1	0	0	11.87736022	1.386294361
Arrhenocoela	0	3	ASAP 1st–2nd	1	0	0	14.12327463	1.386294361
Batophila	0	3	ASAP 1st–2nd	1	0	1	13.39779421	1.704748092
Bromius	0	3	ASAP 1st–2nd	1	0	0	13.22242118	1.609437912
Calomicrus	0	3	ASAP 1st–2nd	4	0	2	12.16084356	2.740840024
Cassida	9.52	3	ASAP 1st–2nd	18	9.52	4	12.70606824	1.54329811
Chaetocnema	33.33	3	ASAP 1st–2nd	17	33.33	1	12.17670357	1.526056303
Chrysolina	11.11	3	ASAP 1st–2nd	19	11.11	8	13.14485748	2.055404964
Chrysomela	0	3	ASAP 1st–2nd	6	0	1	12.81818898	1.190887565
Clytra	0	3	ASAP 1st–2nd	3	0	1	12.41481337	1.386294361
Colaspidea	0	3	ASAP 1st–2nd	1	0	1	11.4846732	2.014903021
Colaspidema	0	3	ASAP 1st–2nd	1	0	0	11.4846732	2.772588722
Coptocephala	0	3	ASAP 1st–2nd	2	0	1	12.57459572	0.845868268
Crepidodera	0	3	ASAP 1st–2nd	7	0	0	11.96474285	2.708050201
Crioceris	0	3	ASAP 1st–2nd	3	0	0	13.10756786	2.119863456
Cryptocephalus	12.9	3	ASAP 1st–2nd	53	12.9	40	12.25541504	1.740466175
Derocrepis	0	3	ASAP 1st–2nd	0	0	2	12.13541464	1.871802177
Diabrotica	0	3	ASAP 1st–2nd	1	0	0	12.23391736	0.693147181
Dibolia	0	3	ASAP 1st–2nd	5	0	1	12.02773514	1.427916036
Dicladispa	0	3	ASAP 1st–2nd	1	0	0	12.58657475	1.098612289
Donacia	0	3	ASAP 1st–2nd	11	0	0	13.87243989	0.896088025
Entomoscelis	0	3	ASAP 1st–2nd	2	0	0	12.21045055	1.386294361
Epitrix	0	3	ASAP 1st–2nd	2	0	0	13.83292013	1.791759469
Exosoma	0	3	ASAP 1st–2nd	2	0	0	11.68702918	3.701301974
Galeruca	0	3	ASAP 1st–2nd	4	0	4	10.84405208	1.609437912
Galerucella	20	3	ASAP 1st–2nd	2	20	3	13.95693026	2.174751721
Gastrophysa	0	3	ASAP 1st–2nd	3	0	0	13.1658494	2.079441542
Gonioctena	16.67	3	ASAP 1st–2nd	11	16.67	1	12.34106541	2.813610697
Hermaeophaga	0	3	ASAP 1st–2nd	2	0	0	11.83144828	0.916290732
Hippuriphila	0	3	ASAP 1st–2nd	1	0	0	13.13028651	1.386294361
Hispa	0	3	ASAP 1st–2nd	1	0	0	13.36742215	3.17805383
Hydrothassa	0	3	ASAP 1st–2nd	2	0	2	10.4565735	1.386294361
Hypocassida	0	3	ASAP 1st–2nd	3	0	0	13.12303275	1.300191662
Labidostomis	0	3	ASAP 1st–2nd	9	0	3	11.84794164	1.678963975
Lachnaia	0	3	ASAP 1st–2nd	4	0	4	11.90840151	2.924773185
Lema	0	3	ASAP 1st–2nd	1	0	0	13.19874629	0.693147181
Leptinotarsa	0	3	ASAP 1st–2nd	1	0	0	12.88051039	0.693147181
Leptomona	0	3	ASAP 1st–2nd	1	0	0	11.94096713	2.397895273
Lillioceris	0	3	ASAP 1st–2nd	3	0	0	14.23946174	1.541159072
Lochmaea	0	3	ASAP 1st–2nd	1	0	3	11.45903818	2.140066163
Longitarsus	28.57	3	ASAP 1st–2nd	35	28.57	14	12.16938325	1.903598951
Luperus	0	3	ASAP 1st–2nd	8	0	2	12.16144916	2.054123734
Lythraria	0	3	ASAP 1st–2nd	0	0	1	13.28437882	1.945910149
Macrocoma	100	3	ASAP 1st–2nd	1	100	0	0	0
Macrolenes	0	3	ASAP 1st–2nd	1	0	0	12.43684026	0.693147181
Macroplea	0	3	ASAP 1st–2nd	2	0	0	0	0.405465108
Mantura	0	3	ASAP 1st–2nd	4	0	0	11.67534869	2.505525937
Neocrepidodera	0	3	ASAP 1st–2nd	9	0	2	12.53223802	1.713797928
Neophaedon	0	3	ASAP 1st–2nd	2	0	0	0	0.405465108
Nimphius	0	3	ASAP 1st–2nd	2	0	0	0	0.405465108
Oedionychus	0	3	ASAP 1st–2nd	2	0	0	11.33540684	2.079441542
Oreina	0	3	ASAP 1st–2nd	4	0	4	11.85658112	1.504077397
Orestia	0	3	ASAP 1st–2nd	1	0	0	12.71840963	1.945910149
Orsodacne	0	3	ASAP 1st–2nd	2	0	1	12.71251036	1.673351238
Oulema	60	3	ASAP 1st–2nd	0	60	5	12.9077833	1.735189118
Pachnephorus	0	3	ASAP 1st–2nd	2	0	0	0	0.405465108
Pachybrachis	0	3	ASAP 1st–2nd	3	0	9	10.70234204	1.945910149
Phaedon	0	3	ASAP 1st–2nd	4	0	0	12.29995362	1.386294361
Phratora	0	3	ASAP 1st–2nd	4	0	2	13.25957912	1.541159072
Phyllobrotica	0	3	ASAP 1st–2nd	1	0	0	13.6760349	1.791759469
Phyllotreta	5.26	3	ASAP 1st–2nd	17	5.26	2	13.38148439	1.413423029
Plagiodera	0	3	ASAP 1st–2nd	0	0	1	12.01597876	2.564949357
Plagiosterna	0	3	ASAP 1st–2nd	0	0	1	13.97420689	2.079441542
Plateumaris	0	3	ASAP 1st–2nd	4	0	2	12.5059498	1.735189118
Podagrica	0	3	ASAP 1st–2nd	3	0	0	12.42385867	2.079441542
Prasocuris	0	3	ASAP 1st–2nd	2	0	0	12.37832451	1.704748092
Psylliodes	7.41	3	ASAP 1st–2nd	15	7.41	15	11.6233186	2.083184528
Pyrrhalta	0	3	ASAP 1st–2nd	1	0	0	14.23795011	1.609437912
Sermylassa	0	3	ASAP 1st–2nd	1	0	0	13.77447604	1.098612289
Smaragdina	0	3	ASAP 1st–2nd	7	0	2	13.08843486	2.397895273
Sphaeroderma	0	3	ASAP 1st–2nd	2	0	0	13.60934346	1.945910149
Stylosomus	0	3	ASAP 1st–2nd	3	0	0	12.02088699	2.512035317
Syneta	0	3	ASAP 1st–2nd	1	0	0	12.60973313	0.693147181
Timarcha	0	3	ASAP 1st–2nd	3	0	1	12.64928077	0.916290732
Tituboea	0	3	ASAP 1st–2nd	1	0	0	14.33747373	0.693147181
Xanthogaleruca	0	3	ASAP 1st–2nd	1	0	0	8.897759959	0
Zeugophora	0	3	ASAP 1st–2nd	1	0	0	12.2840984	1.386294361
Totale	11.5	1	ASAP 1st–2nd	373	11.5	169	12.29643972	1.903598951
Alticinae	19.47	2	ASAP 1st–2nd	138	19.47	57	12.16084356	1.885553349
Cassidinae	8.33	2	ASAP 1st–2nd	22	8.33	3	12.80489871	1.517322624
Chrysomelinae	6.17	2	ASAP 1st–2nd	65	6.17	20	12.40185322	1.986503546
Criocerinae	25	2	ASAP 1st–2nd	6	25	6	13.17728556	1.752672081
Cryptocephalinae	8.39	2	ASAP 1st–2nd	83	8.39	64	12.23386241	1.915450942
Donacinae	0	2	ASAP 1st–2nd	9	0	10	12.5059498	1.214912744
Eumolpinae	0	2	ASAP 1st–2nd	6	0	1	11.4846732	1.311031877
Galerucinae	2.38	2	ASAP 1st–2nd	29	2.38	16	12.09650273	2.209372711
Hispinae	0	2	ASAP 1st–2nd	2	0	0	13.05135276	2.602689685
Orsodacninae	0	2	ASAP 1st–2nd	2	0	1	12.71251036	1.673351238
Synetinae	0	2	ASAP 1st–2nd	1	0	0	12.60973313	0.693147181
Zeugophorinae	0	2	ASAP 1st–2nd	1	0	0	12.2840984	1.386294361
Agelastica	0	3	Local_min	1	0	0	14.20059811	1.609437912
Altica	91.67	3	Local_min	0	91.67	12	12.20824628	2.03077637
Aphthona	21.43	3	Local_min	13	21.43	2	11.68278469	1.745715531
Apteropeda	0	3	Local_min	0	0	2	11.99285591	2.251291799
Arima	0	3	Local_min	1	0	0	11.87736022	1.386294361
Arrhenocoela	0	3	Local_min	1	0	0	14.12327463	1.386294361
Batophila	0	3	Local_min	2	0	0	13.39779421	1.704748092
Bromius	0	3	Local_min	1	0	0	13.22242118	1.609437912
Calomicrus	0	3	Local_min	4	0	2	12.16084356	2.740840024
Cassida	9.52	3	Local_min	19	9.52	3	12.70606824	1.54329811
Chaetocnema	33.33	3	Local_min	16	33.33	2	12.17670357	1.526056303
Chrysolina	11.11	3	Local_min	20	11.11	7	13.14485748	2.055404964
Chrysomela	0	3	Local_min	7	0	0	12.81818898	1.190887565
Clytra	0	3	Local_min	3	0	1	12.41481337	1.386294361
Colaspidea	0	3	Local_min	1	0	1	11.4846732	2.014903021
Colaspidema	0	3	Local_min	1	0	0	11.4846732	2.772588722
Coptocephala	0	3	Local_min	3	0	0	12.57459572	0.845868268
Crepidodera	0	3	Local_min	7	0	0	11.96474285	2.708050201
Crioceris	0	3	Local_min	3	0	0	13.10756786	2.119863456
Cryptocephalus	12.9	3	Local_min	52	12.9	41	12.25541504	1.740466175
Derocrepis	0	3	Local_min	0	0	2	12.13541464	1.871802177
Diabrotica	0	3	Local_min	1	0	0	12.23391736	0.693147181
Dibolia	0	3	Local_min	5	0	1	12.02773514	1.427916036
Dicladispa	0	3	Local_min	1	0	0	12.58657475	1.098612289
Donacia	0	3	Local_min	11	0	0	13.87243989	0.896088025
Entomoscelis	0	3	Local_min	2	0	0	12.21045055	1.386294361
Epitrix	0	3	Local_min	2	0	0	13.83292013	1.791759469
Exosoma	0	3	Local_min	2	0	0	11.68702918	3.701301974
Galeruca	0	3	Local_min	4	0	4	10.84405208	1.609437912
Galerucella	20	3	Local_min	2	20	3	13.95693026	2.174751721
Gastrophysa	0	3	Local_min	3	0	0	13.1658494	2.079441542
Gonioctena	16.67	3	Local_min	8	16.67	4	12.34106541	2.813610697
Hermaeophaga	0	3	Local_min	1	0	1	11.83144828	0.916290732
Hippuriphila	0	3	Local_min	1	0	0	13.13028651	1.386294361
Hispa	0	3	Local_min	1	0	0	13.36742215	3.17805383
Hydrothassa	0	3	Local_min	2	0	2	10.4565735	1.386294361
Hypocassida	0	3	Local_min	3	0	0	13.12303275	1.300191662
Labidostomis	0	3	Local_min	7	0	5	11.84794164	1.678963975
Lachnaia	0	3	Local_min	4	0	4	11.90840151	2.924773185
Lema	0	3	Local_min	1	0	0	13.19874629	0.693147181
Leptinotarsa	0	3	Local_min	1	0	0	12.88051039	0.693147181
Leptomona	0	3	Local_min	1	0	0	11.94096713	2.397895273
Lillioceris	0	3	Local_min	3	0	0	14.23946174	1.541159072
Lochmaea	0	3	Local_min	1	0	3	11.45903818	2.140066163
Longitarsus	28.57	3	Local_min	36	28.57	13	12.16938325	1.903598951
Luperus	0	3	Local_min	7	0	3	12.16144916	2.054123734
Lythraria	0	3	Local_min	1	0	0	13.28437882	1.945910149
Macrocoma	100	3	Local_min	1	100	0	0	0
Macrolenes	0	3	Local_min	1	0	0	12.43684026	0.693147181
Macroplea	0	3	Local_min	0	0	2	0	0.405465108
Mantura	0	3	Local_min	4	0	0	11.67534869	2.505525937
Neocrepidodera	0	3	Local_min	10	0	1	12.53223802	1.713797928
Neophaedon	0	3	Local_min	0	0	2	0	0.405465108
Nimphius	0	3	Local_min	2	0	0	0	0.405465108
Oedionychus	0	3	Local_min	2	0	0	11.33540684	2.079441542
Oreina	0	3	Local_min	4	0	4	11.85658112	1.504077397
Orestia	0	3	Local_min	1	0	0	12.71840963	1.945910149
Orsodacne	0	3	Local_min	2	0	1	12.71251036	1.673351238
Oulema	60	3	Local_min	0	60	5	12.9077833	1.735189118
Pachnephorus	0	3	Local_min	2	0	0	0	0.405465108
Pachybrachis	0	3	Local_min	4	0	8	10.70234204	1.945910149
Phaedon	0	3	Local_min	4	0	0	12.29995362	1.386294361
Phratora	0	3	Local_min	4	0	2	13.25957912	1.541159072
Phyllobrotica	0	3	Local_min	1	0	0	13.6760349	1.791759469
Phyllotreta	5.26	3	Local_min	17	5.26	2	13.38148439	1.413423029
Plagiodera	0	3	Local_min	1	0	0	12.01597876	2.564949357
Plagiosterna	0	3	Local_min	1	0	0	13.97420689	2.079441542
Plateumaris	0	3	Local_min	4	0	2	12.5059498	1.735189118
Podagrica	0	3	Local_min	3	0	0	12.42385867	2.079441542
Prasocuris	0	3	Local_min	2	0	0	12.37832451	1.704748092
Psylliodes	7.41	3	Local_min	15	7.41	15	11.6233186	2.083184528
Pyrrhalta	0	3	Local_min	1	0	0	14.23795011	1.609437912
Sermylassa	0	3	Local_min	1	0	0	13.77447604	1.098612289
Smaragdina	0	3	Local_min	8	0	1	13.08843486	2.397895273
Sphaeroderma	0	3	Local_min	2	0	0	13.60934346	1.945910149
Stylosomus	0	3	Local_min	3	0	0	12.02088699	2.512035317
Syneta	0	3	Local_min	1	0	0	12.60973313	0.693147181
Timarcha	0	3	Local_min	3	0	1	12.64928077	0.916290732
Tituboea	0	3	Local_min	1	0	0	14.33747373	0.693147181
Xanthogaleruca	0	3	Local_min	1	0	0	8.897759959	0
Zeugophora	0	3	Local_min	1	0	0	12.2840984	1.386294361
Totale	11.5	1	Local_min	376	11.5	166	12.29643972	1.903598951
Alticinae	19.47	2	Local_min	139	19.47	56	12.16084356	1.885553349
Cassidinae	8.33	2	Local_min	23	8.33	2	12.80489871	1.517322624
Chrysomelinae	6.17	2	Local_min	67	6.17	18	12.40185322	1.986503546
Criocerinae	25	2	Local_min	9	25	3	13.17728556	1.752672081
Cryptocephalinae	8.39	2	Local_min	88	8.39	59	12.23386241	1.915450942
Donacinae	0	2	Local_min	17	0	2	12.5059498	1.214912744
Eumolpinae	0	2	Local_min	6	0	1	11.4846732	1.311031877
Galerucinae	2.38	2	Local_min	29	2.38	16	12.09650273	2.209372711
Hispinae	0	2	Local_min	2	0	0	13.05135276	2.602689685
Orsodacninae	0	2	Local_min	2	0	1	12.71251036	1.673351238
Synetinae	0	2	Local_min	1	0	0	12.60973313	0.693147181
Zeugophorinae	0	2	Local_min	1	0	0	12.2840984	1.386294361
Chilotomina	0	3	Local_min	1	0	0	12.16084356	0.693147181
Chrysochus	0	3	Local_min	1	0	0	12.75090339	0.693147181